Customer ID|Active (0/1)|Titles ID|Email *|Password *|Birthday|Фамилия|Имя|Рассылка|Подписка|Группы|Осн Группа|Магазин
1|1|1|1@mail.ru|12345678|12.05.1984|Иван|Огонек|0|0|1^2^3|3|1
2|1|1|2@mail.ru|12345678|12.05.1984|Иван|Огонек|0|0|1^2^3|3|1
3|1|1|3@mail.ru|12345678|12.05.1984|Иван|Огонек|0|0|1^2^3|3|1
4|1|1|4@mail.ru|12345678|12.05.1984|Иван|Омск|0|0|1^2^3|3|4
5|1|1|5@mail.ru|12345678|12.05.1984|Иван|Омск|0|0|1^2^3|3|4
6|1|1|6@mail.ru|12345678|12.05.1984|Иван|Омск|0|0|1^2^3|3|4
7|1|1|7@mail.ru|12345678|12.05.1984|Иван|Тамбов|0|0|1^2^3|3|5
8|1|1|8@mail.ru|12345678|12.05.1984|Иван|Тамбов|0|0|1^2^3|3|5
9|1|1|9@mail.ru|12345678|12.05.1984|Иван|Тамбов|0|0|1^2^3|3|5
10|1|1|10@mail.ru|12345678|12.05.1984|Иван|Пенза|0|0|1^2^3|3|6
11|1|1|11@mail.ru|12345678|12.05.1984|Иван|Пенза|0|0|1^2^3|3|6
12|1|1|12@mail.ru|12345678|12.05.1984|Иван|Пенза|0|0|1^2^3|3|6
